produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
26;96;222257;2021-05-12 15:57:31;46.89;46.89;;1
79;8;222318;2018-04-03 16:02:59;45.00;45.00;;1
83;8;222327;2018-04-04 14:26:42;73.40;73.40;;1
90;8;222340;2018-04-05 13:30:35;200.00;200.00;;1
96;8;222350;2020-09-24 09:57:28.86565;1899.00;1899.00;;1
4860;8;4596;2020-12-23 09:53:32.329214;147.40;147.40;77.58;1
34099;8;7268;2019-07-04 11:52:31.529924;260.00;260.00;;1
34259;8;7706;2019-04-02 11:27:17;129.99;129.99;;1
34420;8;6550;2019-04-02 11:21:28;167.70;167.70;;1
38380;8;7833;2019-12-06 10:25:22.626159;1610.00;;;1
55137;8;13928;2020-07-30 10:31:13.211649;2212.50;2212.50;2212.50;1
57882;8;15650;2021-03-10 15:42:58.481466;1479.00;1479.00;;1
70379;8;14224;2017-09-29 10:50:30;1068.12;1068.12;;1
70380;8;14225;2021-03-04 18:22:07.880372;1109.00;1109.00;;1
110764;8;45980;2020-12-17 10:15:56.692094;36.00;36.00;;1
111684;8;49163;2021-05-10 12:08:38;349.00;;175.00;1
113731;8;56441;2017-09-28 13:59:02;78.78;78.78;;1
114185;8;57856;2021-02-02 17:35:14.091839;169.00;169.00;;1
115162;8;57629;2021-04-29 14:38:57.818768;689.00;689.00;;1
115701;96;58075;2021-05-06 15:16:24.507396;34.99;34.99;;1
115709;8;58092;2018-08-06 17:04:49;210.00;210.00;;1
132260;8;222516;2021-05-11 17:11:53;24.63;24.63;9.85;1
132268;8;222566;2018-12-05 15:27:46;20.00;20.00;;1
132284;8;222485;2021-05-11 17:11:02;5.00;5.00;0.72;1
132286;8;222487;2021-05-11 17:11:04;5.00;5.00;0.80;1
132288;8;222489;2021-05-11 17:11:07;5.00;5.00;0.76;1
132289;8;222490;2021-05-11 17:07:18;20.05;20.05;0.80;1
132290;8;222491;2021-05-11 17:11:09;5.00;5.00;0.80;1
132292;8;222493;2021-05-11 17:11:18;7.00;7.00;1.42;1
132294;8;222495;2021-05-11 17:11:55;5.00;5.00;0.97;1
132296;8;222497;2021-05-11 17:11:14;5.00;5.00;0.87;1
132298;8;222499;2021-05-11 17:11:19;5.00;5.00;0.82;1
132300;8;222501;2021-05-11 17:11:26;7.00;7.00;1.28;1
132301;8;222502;2021-05-11 17:11:11;12.00;12.00;3.71;1
132303;8;222504;2021-05-11 17:11:48;20.00;20.00;5.65;1
132305;8;222506;2021-05-11 17:11:13;12.00;12.00;3.74;1
132309;8;222510;2021-05-11 17:11:28;20.00;20.00;6.85;1
132311;8;222512;2021-05-11 17:11:51;30.40;30.40;12.16;1
132313;8;222514;2021-05-11 17:11:31;20.00;20.00;6.96;1
132317;8;222519;2021-05-11 17:11:56;5.00;5.00;0.90;1
132319;8;222521;2021-05-11 17:11:16;7.00;7.00;1.48;1
132320;8;222522;2021-05-11 17:11:49;20.00;20.00;5.85;1
132323;8;222525;2021-05-11 17:11:23;7.00;7.00;1.26;1
